Team,History,Cycle,DirAdv,CorpAdv,Commission,AgentsDistr,Training,ManagBudget,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
Radw,0,9,10.0,19.8320384,8.0,4,0.0,133333.3333333333,0,2.25,700.0,300.0,0.0,0.0,727.0,309,263
X21,0,9,16.0,64.6640384,13.0,7,11.0,250000.0,42,3.73,840.0,328.0,0.0,0.0,787.0,308,272
X22,0,9,20.0,65.8720384,13.0,7,17.0,250000.0,0,3.74,740.0,335.0,0.0,0.0,785.5,409,336
X23,0,9,13.0,61.088038399999995,15.0,7,15.0,250000.0,0,3.74,869.0,340.0,0.0,0.0,806.875,336,286
X24,0,9,13.0,59.088038399999995,15.0,7,15.0,250000.0,0,3.74,869.0,340.0,0.0,0.0,622.25,338,298
X25,0,9,15.0,45.312038400000006,7.0,6,0.0,225000.0,5,3.45,700.0,345.0,0.0,12.1,721.25,460,382
X26,0,9,25.0,40.6320384,8.0,6,17.0,158333.3333333333,0,3.8,760.0,345.0,10.4,11.9,782.9440789473684,440,381
X27,0,9,19.0,49.512038399999994,12.0,6,28.0,300000.0,84,3.73,881.0,325.0,10.1,11.8,809.2810344827587,457,349
X28,0,9,12.0,45.7520384,9.0,6,10.0,180000.0,0,3.43,690.0,330.0,0.0,0.0,683.8571428571429,417,351
X29,0,9,14.0,35.7120384,9.0,5,17.0,147000.0,0,3.76,714.0,345.0,0.0,0.0,709.75,354,337
X30,0,9,12.0,45.2000384,13.0,6,24.0,235000.0,5,3.73,758.0,325.0,11.3,12.4,748.7426900584795,407,369
Historia,1,0,0.0,0.0,7.0,0,1.0,26666.666666666664,0,1.75,0.0,300.0,0.0,0.0,,0,0
Historia,1,1,10.0,15.0,7.0,2,3.0,73333.33333333333,0,1.53,680.0,325.0,0.0,0.0,680.0,220,0
Historia,1,2,10.0,19.0,7.0,3,1.0,90000.0,0,1.58,680.0,325.0,0.0,0.0,680.0,437,220
Historia,1,3,10.0,21.4,7.0,3,0.0,103333.33333333333,0,1.63,690.0,325.0,0.0,0.0,690.0,381,437
Historia,1,4,10.0,22.84,7.0,3,0.0,111666.66666666666,0,1.68,700.0,325.0,0.0,0.0,700.0,396,381
Banana,1,5,7.0,23.704,7.0,3,3.0,120000.0,12,1.73,700.0,325.0,0.0,7.7,717.25,369,384
Batmaja,1,5,15.0,23.704,7.0,3,2.0,120000.0,12,1.73,695.0,325.0,0.0,9.1,725.5,416,384
Batmaja,1,5,13.0,23.704,12.0,3,23.0,203333.3333333333,12,1.71,942.0,313.0,0.0,5.4,785.8571428571429,249,384
EnactusUEP,1,5,10.0,23.704,7.0,3,1.0,120000.0,12,1.73,715.0,325.0,0.0,6.6,707.5,375,384
MBC,1,5,10.0,23.704,7.0,3,2.0,120000.0,12,1.73,695.0,325.0,0.0,0.0,707.5,395,384
Mezzafive,1,5,15.0,23.704,7.0,3,0.0,123333.33333333333,12,1.73,725.0,325.0,0.0,5.9,725.5,380,384
Mezzafive,1,5,13.0,23.704,8.0,3,2.0,136666.66666666666,12,1.73,707.0,326.0,0.0,0.0,735.8571428571429,425,384
Najda,1,5,10.0,23.704,14.0,3,45.0,150000.0,12,1.73,910.0,330.0,0.0,0.0,840.375,276,384
Rosyjski1,1,5,13.0,23.704,12.0,3,25.0,183333.3333333333,12,1.73,939.0,325.0,0.0,5.3,743.375,257,384
SGGW,1,5,10.0,23.704,7.0,3,2.0,116666.66666666666,12,1.74,700.0,335.0,0.0,8.4,735.8571428571429,378,384
UniversalSolutions,1,5,15.0,23.704,9.0,3,2.0,126666.66666666666,12,1.73,695.0,325.0,0.0,9.4,693.0,467,384
UniversalSolutions,1,5,12.0,23.704,7.0,3,3.0,118000.0,12,1.74,700.0,335.0,0.0,0.0,754.8571428571429,399,384
Wilki,1,5,15.0,23.704,8.0,3,1.0,116666.66666666666,12,1.73,759.0,330.0,0.0,0.0,706.25,353,384
X03,1,5,10.0,23.704,13.0,3,25.0,150000.0,12,1.73,890.0,326.0,0.0,0.0,840.375,288,384
X04,1,5,7.0,23.704,13.0,3,25.0,150000.0,12,1.73,900.0,325.0,0.0,0.0,864.25,264,384
X05,1,5,7.0,23.704,13.0,3,25.0,150000.0,12,1.73,890.0,326.0,0.0,0.0,824.0,180,384
Zwolińsk,1,5,10.0,23.704,8.0,3,0.0,116666.66666666666,12,1.73,700.0,325.0,0.0,8.1,701.75,401,384
Banana,1,6,7.0,24.2224,7.0,4,5.0,125000.0,0,1.84,755.0,385.0,7.7,7.2,742.5452930728242,379,375
Batmaja,1,6,5.0,29.2224,7.0,4,3.0,128333.33333333333,0,1.81,765.0,360.0,9.1,7.1,740.6114285714285,374,422
Batmaja,1,6,15.0,113.2224,12.0,7,39.0,333333.3333333333,2,1.77,808.0,320.0,5.4,10.7,830.1358490566038,548,247
EnactusUEP,1,6,7.0,24.2224,7.0,4,1.0,128333.33333333333,54,1.78,740.0,330.0,6.6,3.9,711.0164835164834,389,321
MBC,1,6,5.0,29.2224,7.0,4,4.0,128333.33333333333,0,1.81,695.0,355.0,0.0,0.0,724.375,443,401
Mezzafive,1,6,17.0,29.2224,7.0,4,0.0,146666.66666666666,107,1.78,735.0,325.0,5.9,5.8,740.6114285714285,443,273
Mezzafive,1,6,13.0,30.2224,8.0,4,4.0,166666.66666666666,91,1.78,739.0,326.0,0.0,0.0,752.7142857142857,447,334
Najda,1,6,15.0,39.2224,13.0,7,65.0,213333.3333333333,0,1.79,805.0,340.0,0.0,0.0,834.125,505,278
Rosyjski1,1,6,15.0,113.2224,12.0,7,42.0,283333.3333333333,0,1.78,792.0,325.0,5.3,9.3,727.4973357015986,572,258
SGGW,1,6,11.0,31.2224,7.0,3,3.0,116666.66666666666,0,1.79,700.0,335.0,8.4,0.0,750.219512195122,409,384
UniversalSolutions,1,6,15.0,39.2224,9.0,4,3.0,145000.0,57,1.8,720.0,335.0,9.4,7.5,704.2672413793103,476,410
UniversalSolutions,1,6,12.0,29.2224,8.0,3,5.0,122000.0,0,1.79,715.0,335.0,0.0,0.0,790.8571428571429,441,405
Wilki,1,6,16.0,28.2224,8.0,4,1.0,116666.66666666666,0,1.78,759.0,330.0,0.0,0.0,709.125,436,357
X03,1,6,10.0,49.2224,13.0,7,37.0,213333.3333333333,9,1.76,790.0,310.0,0.0,9.0,834.125,477,279
X04,1,6,15.0,49.2224,13.0,6,37.0,213333.3333333333,0,1.76,790.0,310.0,0.0,0.0,793.0,439,266
X05,1,6,14.0,49.2224,13.0,6,47.0,213333.3333333333,0,1.81,790.0,360.0,0.0,0.0,784.8,388,182
Zwolińsk,1,6,10.0,24.2224,8.0,3,0.0,116666.66666666666,0,1.78,700.0,325.0,8.1,7.9,701.8717047451669,444,407
Banana,1,7,8.0,24.53344,7.0,4,6.0,128333.33333333333,0,2.56,765.0,415.0,7.2,8.2,766.1220825852782,359,379
Batmaja,1,7,5.0,37.53344,7.0,5,3.0,136666.66666666666,46,2.46,700.0,309.0,7.1,8.4,734.8475991649269,461,328
Batmaja,1,7,28.0,166.93344,12.0,7,38.0,333333.3333333333,51,2.76,843.0,313.0,10.7,12.2,848.047619047619,493,497
EnactusUEP,1,7,25.0,29.53344,6.0,4,0.0,136666.66666666666,202,1.91,740.0,330.0,3.9,5.0,713.5672514619882,381,187
MBC,1,7,5.0,37.53344,7.0,4,6.0,136666.66666666666,0,1.56,700.0,355.0,0.0,0.0,730.0,385,443
Mezzafive,1,7,13.0,34.13344,9.0,5,6.0,166666.66666666666,36,2.78,745.0,326.0,0.0,0.0,779.7142857142857,458,411
Najda,1,7,14.0,58.53344,14.0,7,48.0,240000.0,15,2.77,865.0,321.0,0.0,0.0,816.25,364,490
Rosyjski1,1,7,28.0,166.93344,12.0,7,42.0,283333.3333333333,104,2.78,838.0,325.0,9.3,9.9,749.4673721340388,537,468
SGGW,1,7,11.0,35.73344,7.0,3,3.0,116666.66666666666,52,1.79,700.0,335.0,0.0,0.0,752.7142857142857,409,357
UniversalSolutions,1,7,15.0,48.53344,9.0,5,9.0,150000.0,176,2.5,800.0,335.0,7.5,6.7,728.529411764706,427,300
Wilki,1,7,17.0,31.933439999999997,8.0,4,1.0,116666.66666666666,107,2.48,759.0,331.0,0.0,0.0,712.875,409,329
X03,1,7,15.0,64.53344,13.0,7,38.0,233333.3333333333,16,2.77,799.0,320.0,9.0,0.0,813.6432078559737,424,461
X04,1,7,15.0,64.53344,13.0,7,38.0,233333.3333333333,0,2.77,790.0,320.0,0.0,0.0,765.875,392,439
X05,1,7,16.0,64.53344,13.0,6,47.0,240000.0,2,2.81,785.0,360.0,0.0,0.0,765.0,392,386
Zwolińsk,1,7,10.0,24.53344,8.0,3,0.0,116666.66666666666,25,1.53,700.0,325.0,7.9,7.5,701.5885509838998,369,419
Banana,1,8,7.0,25.720063999999997,7.0,4,7.0,133333.3333333333,0,2.54,765.0,390.0,8.2,0.0,785.3228621291449,364,359
Batmaja,1,8,26.0,160.16006399999998,12.0,7,37.0,333333.3333333333,0,2.78,875.0,325.0,12.2,10.4,809.0713101160862,462,513
