Team,History,Cycle,DirAdv,CorpAdv,Support,FailedVisits,Training,ManagBudget,WebDev,BacklogOrders,RandD,Price,AssemblyTime,MarketShares_p,MarketShares_c,MeanPrice,NumOrders,NumSales_p
BMC,0,8,10.0,111.25600000000001,15.0,0.7000000000000028,3.0,200000.0,20.0,0,2.78,720.0,330.0,18.3,23.2,749.1724137931036,329,295
Batmaja,0,8,7.0,141.49599999999998,20.0,0.09999999999999432,37.0,353333.3333333333,20.0,147,2.46,841.0,310.0,5.5,4.8,814.9344042838019,192,129
Mioduszewski,0,8,10.0,27.855999999999998,20.0,0.0,17.0,141666.66666666666,20.0,0,2.57,870.0,350.0,12.7,14.0,860.8662900188325,211,208
Najda,0,8,10.0,67.85600000000001,17.0,0.5999999999999943,2.0,268333.3333333333,27.0,34,1.84,860.0,340.0,13.8,15.3,867.0966542750929,232,215
Perspec,0,8,21.0,132.856,20.0,4.700000000000003,5.0,166666.66666666666,38.0,0,2.79,830.0,340.0,15.9,16.1,826.3616666666666,259,277
Radw,0,8,5.0,23.055999999999997,9.0,0.4000000000000057,0.0,133333.3333333333,10.0,0,1.55,720.0,300.0,12.8,0.0,755.154109589041,189,237
X21,0,8,10.0,123.216,25.0,0.20000000000000284,18.0,240000.0,22.0,5,2.78,801.0,328.0,0.0,0.0,798.5,251,249
X22,0,8,14.0,112.25600000000001,25.0,0.20000000000000284,20.0,240000.0,22.0,0,2.79,769.0,335.0,10.7,0.0,826.8930481283425,288,260
X23,0,8,9.0,126.096,22.0,0.09999999999999432,25.0,240000.0,15.0,0,2.79,856.0,340.0,0.0,0.0,789.625,213,245
X24,0,8,9.0,126.096,22.0,0.09999999999999432,25.0,240000.0,15.0,0,2.79,856.0,340.0,0.0,0.0,835.5,219,230
X25,0,8,8.0,53.856,9.0,0.09999999999999432,1.0,225000.0,25.0,40,2.8,775.0,345.0,0.0,0.0,845.625,285,258
X26,0,8,21.0,31.055999999999997,12.0,0.09999999999999432,15.0,153333.3333333333,40.0,19,2.83,870.0,345.0,10.8,11.4,876.2025316455696,257,250
X27,0,8,14.0,52.256,20.0,0.09999999999999432,37.0,300000.0,20.0,0,2.78,881.0,325.0,9.4,10.4,861.5422535211268,273,265
